,angle
0,-0.2
1,7.6
2,-10.5
3,10.5
4,23.70000000000001
5,30.1
6,-43.3
7,2.6
8,5.3
9,-5.3
10,13.1
11,-13.1
12,-20.2
13,33.7
14,-42.2
15,42.2
16,-2.1
17,-5.8000000000000025
18,-15.2
19,-23.4
20,-35.2
21,35.2
22,-44.6
23,1.0
24,-1.0
25,7.8000000000000025
26,-7.8000000000000025
27,14.8
28,-24.20000000000001
29,30.4
30,40.3
31,4.2
32,-4.2
33,5.300000000000002
34,-5.300000000000002
35,-19.2
36,-23.1
37,23.1
38,32.4
39,43.3
40,-43.3
41,-1.5
42,9.7
43,-9.7
44,-17.7
45,17.7
46,20.9
47,33.6
48,-42.6
49,42.6
50,-0.1
51,8.4
52,-8.4
53,-12.5
54,26.20000000000001
55,-26.20000000000001
56,37.8
57,-43.2
58,0.2
59,-0.2
60,-5.4
61,5.4
62,13.1
63,-13.1
64,26.1
65,-32.6
66,-47.2
67,1.3
68,5.9
69,-5.9
70,-10.3
71,26.3
72,-38.6
73,38.6
74,-41.8
75,41.8
76,-1.3
77,9.8
78,-10.6
79,10.6
80,22.6
81,-22.6
82,33.5
83,-33.5
84,46.6
85,0.8
86,-7.1000000000000005
87,-17.7
88,22.0
89,-22.0
90,34.0
91,-34.0
92,46.7
93,-46.7
94,-1.1
95,5.300000000000002
96,-5.300000000000002
97,14.4
98,-21.70000000000001
99,21.70000000000001
100,-38.6
101,38.6
102,-43.0
103,43.0
104,-0.8
105,0.8
106,-8.200000000000001
107,8.200000000000001
108,-17.8
109,17.8
110,-28.1
111,28.1
112,-34.2
113,34.2
114,-40.5
115,40.5
116,0.30000000000000004
117,6.7
118,11.5
119,-11.5
120,-24.7
121,24.7
122,39.5
123,-39.5
124,42.1
125,-0.1
126,-8.1
127,8.1
128,-11.8
129,29.20000000000001
130,-29.20000000000001
131,39.90000000000001
132,-43.0
133,43.0
134,0.9
135,5.5
136,-10.4
137,20.700000000000006
138,-20.700000000000006
139,-36.2
140,-43.0
141,43.0
142,-0.30000000000000004
143,0.30000000000000004
144,-8.700000000000001
145,8.700000000000001
146,16.7
147,20.9
148,-33.6
149,33.6
150,40.6
151,-0.1
152,0.1
153,-5.4
154,-17.1
155,17.1
156,-22.70000000000001
157,-39.6
158,40.6
159,-40.6
160,0.6000000000000001
161,9.9
162,-9.9
163,13.1
164,-13.1
165,23.1
166,-37.0
167,-40.6
168,40.6
169,-4.4
170,4.4
171,5.300000000000002
172,-17.2
173,23.70000000000001
174,33.300000000000004
175,-33.300000000000004
176,47.90000000000001
177,1.8
178,9.5
179,-12.7
180,12.7
181,20.6
182,-32.800000000000004
183,-45.0
184,45.0
185,-0.9
186,6.6000000000000005
187,-6.6000000000000005
188,-12.9
189,12.9
190,-26.0
191,26.0
192,-31.0
193,31.0
194,41.5
195,3.2
196,-3.2
197,-5.6000000000000005
198,5.6000000000000005
199,-11.1
200,11.1
201,25.5
202,-33.6
203,33.6
204,-40.5
205,40.5
206,4.5
207,-4.5
208,5.4
209,-5.4
210,10.9
211,-10.9
212,23.4
213,-31.2
214,31.2
215,-40.5
216,-3.8
217,3.8
218,-9.5
219,9.5
220,13.4
221,-13.4
222,20.9
223,33.1
224,48.5
225,-48.5
226,2.2
227,-2.2
228,-5.7
229,5.7
230,13.1
231,-13.1
232,-24.6
233,24.6
234,-32.3
235,-44.3
236,2.4000000000000004
237,-2.4000000000000004
238,-8.9
239,-11.9
240,11.9
241,20.9
242,-20.9
243,-31.5
244,-46.5
245,0.30000000000000004
246,-0.30000000000000004
247,5.300000000000002
248,-5.300000000000002
249,13.1
250,22.4
251,-22.4
252,-35.7
253,45.1
254,2.4000000000000004
255,-6.6000000000000005
256,-10.3
257,26.3
258,-26.3
259,-30.4
260,30.4
261,-43.0
262,43.0
263,-0.30000000000000004
264,6.6000000000000005
265,-17.3
266,17.3
267,26.8
268,-31.7
269,47.40000000000001
270,2.9
271,-2.9
272,5.1000000000000005
273,13.1
274,-13.1
275,20.3
276,-33.300000000000004
277,-43.0
278,43.0
279,-0.5
280,0.5
281,-7.3
282,11.1
283,-11.1
284,26.3
285,34.300000000000004
286,-43.0
287,-2.7
288,5.9
289,-13.5
290,13.5
291,-24.20000000000001
292,24.20000000000001
293,30.4
294,-30.4
295,-42.0
296,0.30000000000000004
297,-7.2
298,7.2
299,-13.0
300,25.3
301,-25.3
302,-37.9
303,37.9
304,48.7
305,-48.7
306,1.8
307,-7.4
308,7.4
309,-12.8
310,26.3
311,-26.3
312,33.3
313,-47.0
314,47.0
315,-1.0
316,1.0
317,-7.3000000000000025
318,10.7
319,27.5
320,-27.5
321,34.0
322,-34.0
323,-40.3
324,-0.5
325,0.5
326,-8.2
327,13.1
328,-22.3
329,22.3
330,-38.2
331,38.2
332,47.90000000000001
333,-0.6000000000000001
334,0.6000000000000001
335,-6.9
336,6.9
337,14.5
338,-24.3
339,35.5
340,-35.5
341,42.6
342,-42.6
343,0.8
344,-0.8
345,8.3
346,-8.3
347,-10.8
348,-25.2
349,-30.7
350,-47.4
351,4.8
352,-4.8
353,-7.7
354,13.1
355,-13.1
356,25.0
357,-25.0
358,-38.7
359,-47.6
360,47.6
361,1.6
362,-7.9
363,14.0
364,-24.20000000000001
365,-37.0
366,-42.6
367,-2.8
368,2.8
369,-8.0
370,8.0
371,-17.7
372,27.0
373,-27.0
374,35.4
375,-40.8
376,0.0
377,-0.0
378,-7.4
379,18.5
380,-18.5
381,21.4
382,39.90000000000001
383,-42.6
384,42.6
385,-4.800000000000002
386,4.800000000000002
387,9.6
388,-9.6
389,13.4
390,-23.9
391,23.9
392,36.3
393,-36.3
394,-43.1
395,-4.800000000000002
396,4.800000000000002
397,-5.2
398,-16.400000000000002
399,-25.4
400,25.4
401,-38.7
402,38.7
403,-48.3
404,48.3
405,4.6000000000000005
406,-4.6000000000000005
407,5.9
408,-10.8
409,-22.3
410,22.3
411,-30.7
412,-41.0
413,41.0
414,1.0
415,-6.0
416,6.0
417,10.1
418,-24.6
419,35.5
420,-35.5
421,-48.0
422,4.0
423,-5.8000000000000025
424,-12.4
425,12.4
426,-24.20000000000001
427,24.20000000000001
428,35.5
429,-40.5
430,40.5
431,0.0
432,-0.0
433,6.1000000000000005
434,-14.5
435,-27.3
436,27.3
437,-30.3
438,46.5
439,-0.1
440,-5.5
441,5.5
442,14.5
443,-14.5
444,27.6
445,-27.6
446,-30.9
447,30.9
448,-46.5
449,4.0
450,-6.6
451,6.6
452,13.1
453,-13.1
454,20.5
455,30.20000000000001
456,-30.20000000000001
457,-40.5
458,40.5
459,-0.7000000000000001
460,-5.2
461,5.2
462,13.1
463,-13.1
464,21.9
465,-31.7
466,-44.3
467,44.3
468,-3.1
469,5.4
470,-5.4
471,18.6
472,-18.6
473,25.0
474,-25.0
475,-34.9
476,-40.5
477,40.5
478,1.4
479,-1.4
480,7.4
481,-10.3
482,10.3
483,20.6
484,-20.6
485,-38.1
486,38.1
487,-40.5
488,40.5
489,1.4
490,-1.4
491,-7.4
492,-12.6
493,12.6
494,-26.6
495,30.70000000000001
496,-30.70000000000001
497,-48.0
498,0.30000000000000004
499,-6.9
500,-11.9
501,11.9
502,20.4
503,34.6
504,44.40000000000001
505,-44.40000000000001
506,-0.7000000000000001
507,0.7000000000000001
508,6.4
509,-6.4
510,-11.7
511,11.7
512,28.9
513,33.800000000000004
514,47.7
515,0.0
516,-6.1
517,6.1
518,13.1
519,-29.9
520,29.9
521,33.6
522,-42.0
523,42.0
524,-0.4
525,0.4
526,-6.1
527,-11.7
528,11.7
529,-23.4
530,-39.9
531,39.9
532,-42.5
533,0.7000000000000001
534,-0.7000000000000001
535,-5.8000000000000025
536,5.8000000000000025
537,-12.7
538,26.3
539,-26.3
540,37.5
541,-43.4
542,0.0
543,-8.8
544,-12.4
545,20.5
546,35.5
547,49.2
548,2.7
549,-5.7
550,13.1
551,-13.1
552,-20.9
553,-36.8
554,36.8
555,-43.7
556,1.2
557,6.8000000000000025
558,11.9
559,-11.9
560,-24.20000000000001
561,34.8
562,-40.5
563,40.5
564,-1.0
565,6.9
566,-6.9
567,15.2
568,-15.2
569,-20.700000000000006
570,-34.0
571,34.0
572,41.3
573,-41.3
574,0.30000000000000004
575,-0.30000000000000004
576,-8.5
577,8.5
578,-15.9
579,20.6
580,-20.6
581,30.70000000000001
582,-30.70000000000001
583,-46.5
584,-4.0
585,4.0
586,7.0
587,-7.0
588,-17.900000000000006
589,17.900000000000006
590,20.9
591,-20.9
592,37.1
593,-37.1
594,-45.6
595,-0.2
596,0.2
597,5.1000000000000005
598,-5.1000000000000005
599,17.3
600,-17.3
601,-24.3
602,31.1
603,-47.5
604,4.9
605,-5.5
606,5.5
607,-11.7
608,11.7
609,26.3
610,-30.1
611,30.1
612,47.2
613,-47.2
614,0.2
615,-5.8000000000000025
616,-11.7
617,20.9
618,-31.2
619,-43.0
620,5.0
621,-5.0
622,-5.4
623,-11.7
624,11.7
625,20.2
626,31.7
627,-31.7
628,44.8
629,-0.1
630,0.1
631,-8.8
632,-19.1
633,23.8
634,32.800000000000004
635,48.4
636,0.9
637,7.6
638,-11.6
639,-24.20000000000001
640,-36.1
641,36.1
642,41.7
643,-0.9
644,6.0
645,-18.4
646,18.4
647,28.9
648,30.20000000000001
649,-30.20000000000001
650,-40.5
651,40.5
652,-0.1
653,0.1
654,-6.8000000000000025
655,13.1
656,-13.1
657,20.9
658,-20.9
659,-36.3
